,id,user_id,timestamp,loan_amount,loan_purpose,outcome,interest,webvisit_id
24,16453628,29301798,1515632945,100000,Refinance existing loans,REJECTED,7.0,
35,66465566,41985522,1515011232,230000,Refinance existing loans,REJECTED,6.7,"(90966721,)"
40,2405133,45989845,1515074084,200000,home purchase,ACCEPTED,14.0,
46,32012214,34063228,1516236524,40000,Refinance existing loans,REJECTED,8.7,"(93647618,)"
60,96483531,96064857,1516840312,270000,home purchase,ACCEPTED,6.7,
68,37069144,94200565,1516610980,90000,Refinance existing loans,REJECTED,7.0,
82,41482421,93225584,1516008004,260000,Refinance existing loans,REJECTED,7.0,
93,19743949,39813344,1516030085,230000,Refinance existing loans,REJECTED,8.7,
115,37956314,16726179,1516917030,200000,Refinance existing loans,ACCEPTED,8.7,
163,39412545,1666172,1515310719,150000,Buying a pet,ACCEPTED,8.7,
217,24272699,23067316,1516365265,60000,Buying a pet,ACCEPTED,6.7,
221,79743724,22297410,1515843104,30000,Refinance existing loans,REJECTED,8.7,"(10174364,)"
226,33447404,28030759,1517147303,250000,buying a pet,ACCEPTED,7.0,"(7711761,)"
289,55322806,60249809,1516779142,240000,Buying a pet,REJECTED,14.0,"(13213586,)"
308,50208325,90434888,1517207759,40000,Home purchase,ACCEPTED,8.7,
344,83618267,49836305,1516826347,260000,Buying a pet,REJECTED,8.7,"(7332698,)"
366,16414371,71365547,1515279580,60000,Buying a pet,REJECTED,7.0,
372,88981446,215781,1516372963,100000,Buying a pet,ACCEPTED,14.0,
388,11951386,28104537,1517280160,240000,Refinance existing loans,ACCEPTED,7.0,
397,77094615,45279924,1516554801,300000,Buying a pet,ACCEPTED,8.7,
443,4236952,99631306,1516677290,30000,Buying a pet,REJECTED,8.7,
463,12753472,7854888,1516985786,260000,Refinance existing loans,ACCEPTED,8.7,"(46608009,)"
474,47058020,49158517,1515918751,20000,Refinance existing loans,ACCEPTED,8.7,
478,74667013,1620754,1516224404,230000,Home purchase,REJECTED,6.7,
483,83494213,88642839,1516925026,170000,buying a pet,ACCEPTED,8.7,
503,58171505,4477326,1515723282,270000,Home purchase,REJECTED,6.7,
529,82999787,48006280,1515613216,300000,home purchase,REJECTED,8.7,"(8461362,)"
535,60259327,12265723,1516526603,230000,Buying a pet,REJECTED,14.0,
559,45816075,47303664,1515457859,90000,Home purchase,REJECTED,8.7,
