,id,timestamp,referrer,campaign_name
0,80139861,1533681013,Twitter,display1
1,80139861,1510371179,Facebook,display1
2,32212575,1523416988,Google,display2
3,32212575,1512331218,Facebook,display3
4,32212575,1537734220,Google,display2
5,1669939,1564518242,Google,display2
6,1669939,1535686659,Twitter,display2
7,1669939,1518265998,Google,display2
8,1669939,1532391622,Google,display2
9,44226294,1507755891,Twitter,display1
10,44226294,1522089076,Facebook,display3
11,44226294,1528775410,Twitter,display3
12,5321290,1523402590,Twitter,display3
13,5321290,1538983128,Facebook,display2
14,5321290,1562600256,Twitter,display3
15,5321290,1511218875,Twitter,display1
16,5321290,1538801293,Twitter,display3
17,30890897,1540380004,Facebook,display2
18,30890897,1546750954,Google,display1
19,30890897,1554681346,Facebook,display1
20,30890897,1567142845,Twitter,display1
21,67166826,1524441346,Google,display1
22,67166826,1511127390,Google,display1
23,67661338,1516234639,Google,display2
24,67661338,1544178900,Twitter,display2
25,67661338,1512258791,Twitter,display3
26,67661338,1545375237,Facebook,display2
27,72572646,1537462173,Google,display2
28,42299307,1545714175,Twitter,display3
29,90966721,1512158905,Google,display3
30,90966721,1552632030,Google,display1
31,90966721,1552429004,Google,display1
32,88291624,1535158461,Google,display3
33,4759334,1560103717,Facebook,display1
34,4759334,1564540725,Twitter,display1
35,4759334,1550096799,Google,display1
36,93647618,1510292567,Twitter,display1
37,20233512,1531319704,Google,display2
38,20233512,1534144993,Google,display1
39,20233512,1537861753,Facebook,display3
40,20233512,1538336643,Facebook,display1
41,20233512,1519755789,Twitter,display2
42,56444414,1560116423,Facebook,display2
43,56444414,1540140432,Facebook,display2
44,12223224,1552241799,Google,display3
45,12223224,1533585031,Facebook,display1
46,29306816,1539222649,Twitter,display2
47,29306816,1529369579,Google,display3
48,29306816,1527572304,Google,display3
49,29306816,1535861307,Facebook,display3
50,29306816,1543258487,Google,display3
51,24001314,1535464814,Twitter,display3
52,24001314,1519514455,Google,display3
53,24001314,1525493714,Facebook,display1
54,24001314,1539519825,Facebook,display1
55,24001314,1521493331,Google,display2
56,45359123,1557186551,Google,display2
57,45359123,1533159324,Facebook,display3
58,45359123,1566006438,Twitter,display1
59,44334777,1555557053,Facebook,display3
60,44334777,1555523770,Facebook,display1
61,44334777,1550786280,Facebook,display1
62,44334777,1566717422,Twitter,display2
63,20482011,1539219348,Facebook,display1
64,20482011,1529954694,Google,display1
65,54404642,1537696530,Twitter,display3
66,270398,1555400947,Google,display1
67,270398,1518786949,Google,display2
68,10097349,1569693959,Twitter,display1
69,10097349,1560511600,Facebook,display3
70,10097349,1541165069,Facebook,display2
71,2625464,1536943263,Twitter,display1
72,2625464,1529998284,Twitter,display1
73,68704132,1509349997,Google,display2
74,68704132,1510260009,Google,display3
75,68704132,1544468078,Google,display1
76,63140944,1521391592,Twitter,display3
77,63140944,1568726338,Twitter,display3
78,63140944,1550212982,Google,display3
79,66497851,1568389833,Facebook,display1
80,66497851,1544088685,Facebook,display3
81,66497851,1522562084,Twitter,display2
82,66497851,1557010516,Google,display3
83,38905042,1554654053,Google,display2
84,38905042,1525253952,Google,display2
85,38905042,1556645541,Twitter,display2
86,38905042,1553620881,Facebook,display1
87,38905042,1536381687,Google,display2
88,56560134,1514673939,Google,display1
89,56560134,1543419657,Google,display2
90,66172369,1558542890,Google,display2
91,62747475,1562328213,Google,display3
92,62747475,1553408612,Facebook,display2
93,62747475,1535183181,Twitter,display2
94,21663342,1557092781,Facebook,display2
95,21663342,1545932673,Facebook,display2
96,21663342,1541147040,Google,display3
97,21663342,1507578757,Google,display2
98,23679538,1557968810,Facebook,display2
99,11736904,1558791838,Facebook,display3
100,11736904,1537761220,Facebook,display3
101,95326018,1559122838,Twitter,display3
102,95326018,1523328679,Facebook,display2
103,95326018,1524043611,Twitter,display1
104,95326018,1557207130,Google,display1
105,95326018,1532942551,Google,display3
106,12778895,1538974622,Twitter,display1
107,67382727,1567777379,Facebook,display1
108,67382727,1557037352,Twitter,display1
109,67382727,1549710500,Twitter,display3
110,67382727,1546501141,Google,display3
111,54739388,1541199956,Twitter,display1
112,54739388,1516312257,Google,display1
113,50229931,1534391365,Facebook,display1
114,50229931,1538845962,Twitter,display3
115,50229931,1510150041,Facebook,display1
116,50229931,1523661790,Google,display2
117,50229931,1546320040,Google,display3
118,48788496,1525616882,Twitter,display2
119,48788496,1555418134,Google,display1
120,48788496,1569750746,Twitter,display3
121,3215099,1540242082,Google,display1
